GEOID,NAME,pop10,pop11,pop11_m,pop12,pop12_m,pop13,pop13_m,pop14,pop14_m,pop15,pop15_m,pop16,pop16_m,pop17,pop17_m
29510101100,"Census Tract 1011, St. Louis city, Missouri",2600,2480,322,2743,436,2610,343,2653,311,2591,267,2514,227,2510,222
29510101200,"Census Tract 1012, St. Louis city, Missouri",3100,3050,213,3145,244,2999,194,3261,221,3275,253,3376,241,3545,236
29510101300,"Census Tract 1013, St. Louis city, Missouri",4336,4515,287,4205,262,4224,269,4097,261,4040,352,3972,372,4017,326
29510101400,"Census Tract 1014, St. Louis city, Missouri",2703,2652,334,2622,302,2485,265,2547,271,2750,247,2711,267,2717,237
29510101500,"Census Tract 1015, St. Louis city, Missouri",3126,3346,347,3420,422,3395,375,3758,521,3771,570,3937,640,3633,638
29510101800,"Census Tract 1018, St. Louis city, Missouri",3092,3006,373,3072,416,3146,481,3215,390,3452,468,3102,444,3249,385
29510102100,"Census Tract 1021, St. Louis city, Missouri",2780,2799,283,2831,218,2873,207,2963,248,2802,287,2774,250,2683,228
29510102200,"Census Tract 1022, St. Louis city, Missouri",6028,6172,335,6397,279,6696,396,6435,442,6367,351,5966,394,5857,387
29510102300,"Census Tract 1023, St. Louis city, Missouri",1846,1830,115,1783,120,1891,195,1899,191,1987,218,2027,205,2126,207
29510102400,"Census Tract 1024, St. Louis city, Missouri",2478,2514,243,2523,222,2523,256,2593,191,2673,205,2579,219,2499,180
29510102500,"Census Tract 1025, St. Louis city, Missouri",1918,1918,214,1947,166,2027,140,2033,169,2028,199,2092,171,1949,181
29510103100,"Census Tract 1031, St. Louis city, Missouri",3299,3209,284,3055,233,3193,252,3062,236,3220,255,3097,304,3098,305
29510103400,"Census Tract 1034, St. Louis city, Missouri",1968,1884,179,1711,121,1800,115,1894,123,1874,121,1876,163,1860,182
29510103600,"Census Tract 1036, St. Louis city, Missouri",1329,1345,178,1420,169,1477,133,1311,140,1448,155,1317,152,1298,166
29510103700,"Census Tract 1037, St. Louis city, Missouri",2531,2449,277,2588,287,2450,279,2349,220,2408,274,2572,312,2406,215
29510103800,"Census Tract 1038, St. Louis city, Missouri",3819,4161,396,3884,335,3751,328,3883,352,3902,279,3837,252,3856,242
29510104200,"Census Tract 1042, St. Louis city, Missouri",3401,3689,284,3760,280,3814,286,3675,294,3435,282,3281,245,3292,227
29510104500,"Census Tract 1045, St. Louis city, Missouri",1846,1864,228,1667,254,1538,154,1355,227,1597,262,1685,245,1990,225
29510105198,"Census Tract 1051.98, St. Louis city, Missouri",3463,3362,313,3582,303,3582,400,3441,407,3483,337,3534,337,3120,240
29510105200,"Census Tract 1052, St. Louis city, Missouri",2675,2435,225,2727,245,2927,280,3046,255,2977,265,3020,260,2981,308
29510105300,"Census Tract 1053, St. Louis city, Missouri",2203,2334,287,2396,290,2423,322,2359,354,2450,359,2528,330,2796,408
29510105400,"Census Tract 1054, St. Louis city, Missouri",2507,2286,370,2438,295,2478,348,2607,320,2337,322,2361,340,2388,279
29510105500,"Census Tract 1055, St. Louis city, Missouri",2922,2586,457,2503,403,2807,393,2909,398,2993,384,2806,416,2819,488
29510106100,"Census Tract 1061, St. Louis city, Missouri",2427,2142,434,1845,357,1940,341,1732,245,1724,240,1830,211,1826,285
29510106200,"Census Tract 1062, St. Louis city, Missouri",1738,1780,327,1783,318,1695,373,1881,338,1825,325,1436,403,1397,310
29510106300,"Census Tract 1063, St. Louis city, Missouri",1966,1759,450,1796,485,1316,325,1287,311,1455,236,1407,229,1408,229
29510106400,"Census Tract 1064, St. Louis city, Missouri",2392,2637,457,2573,411,2493,391,2692,413,2445,370,2032,298,1986,364
29510106500,"Census Tract 1065, St. Louis city, Missouri",3267,2977,420,2777,351,2826,344,2885,362,2852,364,2712,471,2863,515
29510106600,"Census Tract 1066, St. Louis city, Missouri",1783,1919,339,2073,419,2163,398,1996,378,1709,270,1770,288,1694,304
29510106700,"Census Tract 1067, St. Louis city, Missouri",3515,3519,427,3381,631,3111,524,3103,541,2960,558,3121,571,3168,428
29510107200,"Census Tract 1072, St. Louis city, Missouri",1342,890,313,943,206,887,228,1057,315,1156,212,1364,369,1140,225
