NHD_NAME,NHD_NUM,pop40,pop50,pop60,pop70,pop80,pop90,pop00,pop10,pop11,pop11_m,pop12,pop12_m,pop13,pop13_m,pop14,pop14_m,pop15,pop15_m,pop16,pop16_m,pop17,pop17_m
Franz Park,43,3308.9920443033734,3303.0341542045076,3436.117652588079,3246.257737521781,2531.5814509857987,2549.2185666493833,2281.0780643087855,1388.1900772700028,1353.188726470621,165.4826190800693,1316.8432581818959,104.95772283770526,1432.1014442653063,113.44662556593183,1345.3564126515466,103.25881401750009,1312.2657699239412,87.3807650194254,1268.6342343047534,98.75730853362309,1320.0615026991768,98.95158437777353
Tiffany,29,4281.833562113498,4418.348742388762,3685.6754352768826,2598.0543195517403,1343.3150250296985,1103.2776676075698,997.6891480980212,960.8925737725829,853.3820109548836,108.63803489333462,848.2755254467241,95.68674248774927,910.6571711627893,104.2984941955656,871.219059855401,86.27851500855202,899.5535247909446,79.67144474978133,932.0046843350535,98.75421330801474,964.0661090613297,95.69542483834125
Botanical Heights,28,6312.47149164395,5869.054823468087,5330.827685901019,4077.9967851239,3063.773405473673,2676.238701952205,2345.227161674279,1729.5454483133597,1590.693415455432,246.20332197156543,1562.2137654676176,212.22066640108605,1665.2952527515235,217.55557366333372,1641.52040273683,219.71361404160663,1678.0235410443672,216.4248215286193,1660.021355245007,239.13968505864517,1680.038535989296,247.25883887290527
Kings Oak,40,404.5313203446389,388.1847245708897,313.6416230868868,281.80120955647527,637.0334495892133,551.9392041513761,448.9812051310151,415.93780825551266,419.99371517317564,51.237966133386394,375.9547912694985,57.075030924466446,347.18853897167156,34.78479659876626,305.9937367274936,51.10789966228531,360.4171565511988,58.952792202832484,380.1805591741967,55.112284763975495,448.0888131549729,50.65294985343614
Cheltenham,41,2128.378899784744,2278.455597870975,2151.1536369413093,1287.172732776441,1250.3994729683225,1057.0585681759776,872.479647050451,816.2409274210894,824.20022319759,100.59644632094333,737.6572887098524,112.05849313305497,681.102529377342,68.23244868318456,600.2481106048981,100.30830550537961,707.0850213288602,115.7174560614182,745.8912570644427,108.18428827241243,879.4362438286547,99.41699655720164
Clayton-Tamm,42,3606.528685005009,4098.48210623321,3745.5521837262654,3916.8895543936,2294.735997678965,2101.6477390569403,1864.040492749191,1700.0694039083405,1807.9439056852534,161.0124634474706,1782.5502764933003,166.3284616711731,1768.72819579129,142.781425071849,1671.2468678046655,164.48960717919874,1648.2363181301127,169.25503199835254,1615.9194101368669,151.5476017221271,1698.1091530076908,139.95756913791166
Forest Park South East,39,8224.363042129953,7656.1154632719945,6589.139302217971,4573.03460314554,2722.730089273348,2613.4555697296096,2090.5903625646015,1883.9882945391516,1789.571000320756,318.2740829338616,1737.3085454470445,258.10706187181023,1813.506476469544,228.6112975209108,1809.8072884601163,252.3717434241333,1913.432373388858,240.03062095510273,2026.9719414527435,258.9653193394605,2115.845045364663,284.8980259890939
Hi-Pointe,44,3607.173047796806,4226.882498085593,3728.5018059217578,3637.8104339801116,2751.473577531823,2514.035133362239,2407.2986806839567,2153.043959047018,2333.9711188363162,180.14044912129336,2378.421828865539,177.23018362731835,2413.2388219401932,181.13923305799253,2324.885098367944,186.1136802949273,2174.0236810957945,178.4600673394425,2076.9574494223593,155.2249996286442,2083.8958481538157,143.88734226293002
Downtown West,36,17433.044953844288,19239.67443020162,7900.924359595411,5517.465684509115,3398.6590161163413,3189.7843974922494,2929.1846162583647,5582.376816563072,4483.362610190817,607.0036182500106,5255.078947218266,617.048818433076,5582.890242731791,609.2930236166742,5785.7115665685615,677.2110598242849,5957.416203838689,626.0230091027378,6132.198593649941,637.8603697147535,6301.476017705885,730.1393366308652
Midtown,37,19733.317034128144,22278.142338351543,8766.128946844821,6698.730927496966,6663.807958567728,5243.673368264693,4214.024593786302,4940.146867208207,4799.772706059436,848.4723531600606,5016.51493014605,858.9397894960215,5041.075509799624,841.5440945245346,4957.230402747284,858.8832687325341,5169.169499113438,769.4374756980643,5058.433068809299,741.6377159794987,5187.892697293622,806.5760729171101
