NHD_NAME,NHD_NUM,white40,nonwhite40,white50,black50,white60,black60,white70,black70,white80,black80,white90,black90,white00,black00,white10,black10,white11,black11,white12,black12,white13,black13,white14,black14,white15,black15,white16,black16,white17,black17
Franz Park,43,3306.505366998641,2.486677304732532,3298.6386968677743,1.469012590253926,3426.582822516837,0.02171331380297497,3025.6976561482643,24.828458608963576,2484.7800483559326,20.470637682820026,2347.729437596011,152.23723326159202,1918.9051983276997,267.2129543663864,1157.8235371333171,132.43813015419036,1064.6888574551017,188.5403243731548,1077.7902073767675,134.6590099840994,1107.818678279049,169.10847292206947,1123.8239938160614,114.40279065599718,1138.1686915644189,72.96512658076708,1096.7394895483876,77.7650975468689,1152.9678396076013,74.14035440355728
Tiffany,29,3214.0085809254556,1067.824981188043,3012.8965401927167,1399.9036824235548,2406.451300515054,1262.9063322000254,981.7459467041984,1542.880945970511,336.8389001573466,990.4233344204458,301.4887868323989,764.9086462267494,238.9613351320296,721.554257832267,265.7217696656723,642.5849102673485,244.91355344901922,561.4262014536813,302.0673035704556,515.9365599167195,322.7738289172843,557.3572671749328,342.698015601245,494.4615857887638,339.0922494365605,516.9857325243834,323.62558261546263,571.293554485123,340.29171125603125,572.7697251404724
Botanical Heights,28,6299.283678844098,13.187812799852226,5856.6315291390465,9.94957868007446,5290.322147757881,36.111412624689436,3935.4263108905193,46.34350338841038,1919.7031109615968,1089.8505234734548,1115.4738489362758,1489.6538234179613,586.332541638461,1637.2698192886915,695.9101444503126,935.8717148237112,681.3663569110211,814.5735832181546,670.4313505909308,792.4037758145296,712.2166419505558,857.4894036900173,826.280854630589,730.7995288452224,761.2917837989379,828.1595801151966,783.8137636927027,798.6882242980047,898.2226452316758,733.2944866627075
Kings Oak,40,397.6568498563974,6.874470488241467,388.01351386651635,0.13307372283046853,311.8629872919217,0.08682248989548862,264.9834269612839,2.706811364658772,589.4663984358097,38.530706185951885,461.95143718545313,80.69291035076166,355.0356522504837,72.475370472582,320.23033681526647,56.488295810552444,328.79710045944154,65.33209799279572,293.58587817051614,58.80329627352701,286.62995450992844,37.92057787822679,233.9332987557493,38.74353443147108,292.1054527836099,33.88721175505192,289.6220926131347,30.34628364875124,334.5456121293184,37.12222907901431
Cheltenham,41,2084.580711548888,43.798188235856365,2254.289459735005,24.11296286484569,2108.5572268989445,24.580194042032637,1234.8764380198147,18.240669507598305,1157.848272347682,74.80899601876771,894.8248454339733,144.79544116241553,692.4593353156966,138.85190406884834,628.5609132103568,110.72062855129828,645.3708137115361,128.1341477648368,576.2153631218782,115.24226158083488,562.5549845520993,74.15913756146396,459.05505003084045,75.80116475434279,573.2767272456936,66.23629122660545,568.3272138831442,59.34319159160099,656.6896662886248,72.63471986789423
Clayton-Tamm,42,3569.6280749954076,36.90061000960115,4073.8123761965917,22.45504845697097,3698.15542703984,25.716584478281725,3786.3492771221745,40.49001317800754,2210.399709874566,56.24198375466164,1900.206561447578,149.67771910299103,1603.7641879680498,153.5440650564673,1432.4971961168874,137.96117898941625,1455.3166100382093,217.26528292238743,1411.0385517740065,223.7866677600615,1415.53657653198,199.38806547481266,1349.9787299679606,142.26632447367334,1419.0431283823377,108.74666600516896,1347.4868657857137,78.41723847721335,1418.2138000262705,74.09057382844705
Forest Park South East,39,8056.005437935243,168.35760419470978,7474.905688963369,174.27663537323477,6424.408619214243,153.3421628198777,4146.354815738836,274.2566892505275,1446.9984077015863,1230.9759225746575,1100.9363882921587,1436.5022770841429,558.8691034159488,1425.4729987997973,816.4670040743306,907.3863195073353,778.99043686151,811.2732316277564,811.3721745335423,731.9295000172898,837.9934011125575,798.2555838587336,846.1853420334903,798.4078565578643,952.945265917591,784.7738241083982,1008.9721651415133,870.0093410499384,1033.5453512617726,925.9254670541654
Hi-Pointe,44,3600.868606227099,6.304441569706401,4218.445707956002,4.587384255717006,3705.4952453596748,9.619772355397489,3516.2403509940373,15.139732995291965,2697.879402246828,22.40556702226584,2325.138518376995,118.93624584951978,2127.0517149346706,133.12714491076602,1875.195803421463,128.91108354675336,1897.2661240748107,250.59239167158435,1890.9884978826665,274.9128396124826,1913.1954300020425,274.6441147414125,1904.948345321353,172.29036843045975,1908.4767613672077,122.99511125643296,1787.5749096888376,76.97167027596413,1821.03652650642,55.589088273179
Downtown West,36,4776.1835166688,12656.861437175487,4539.376967262122,14683.79145652987,1489.1072830769133,6396.88838837339,2223.226083862299,3074.6762175791655,2164.039706820008,1200.6842040648723,1555.2830947193163,1580.8475394131801,1075.9729724648191,1702.0863687909696,2348.048766944006,2935.30592282988,1786.982728496275,2367.119422720493,2292.471604548214,2646.36210951642,2332.4492286521468,2965.8228866704717,2514.123687844939,2960.432457685571,2647.2800827522956,3014.309808024177,2609.865366377218,3202.524599194477,2663.042374204733,3256.1783253019557
Midtown,37,5115.540720125752,14617.776314002393,5209.310238345642,17020.664353635748,2744.0273761128215,5995.848583484276,3334.84993118599,3107.8519181273605,2372.1296962123038,4153.172309843835,1715.1361929097682,3338.647473903357,1752.557931147377,2171.1694515538097,2135.966752100068,2336.041230662779,2006.8175834591873,2367.627849230202,2183.08011455213,2388.8586357355553,2166.1516355847457,2384.6801198532557,2063.9668249263455,2335.306182449249,2242.7570482581214,2378.1514489767314,2122.211016597232,2405.5279479261376,2027.485369917575,2599.554578385561
Columbus Square,62,1832.2869488790056,2788.620590060272,1141.104970222966,3902.425900034641,978.7813500027404,3235.4495825430895,198.33191703239152,2245.0822138718,66.24269985076866,1029.6648536399284,82.13030943083035,1291.9299978227107,50.85964868623893,886.3337573710471,99.01526592127117,1074.5962748615666,69.11303234624233,957.5224513367295,98.4156248349483,980.1791265563631,96.41972204475258,1158.490206709811,88.30535035610168,1183.8112387517813,87.27436131134911,1242.1472370395772,103.29620682171092,1223.559242412177,88.21036913198698,1266.1879350974075
Carr Square,61,3443.6379789062084,10632.91523160652,2428.0712525622366,13767.633058012709,975.8195060269514,16826.870316493918,247.26372247709818,9131.5102927963,45.19496519321896,2942.7149086876875,75.63378062907552,2235.495402454719,40.61125136289237,1681.9929181448185,196.88688114795522,1703.850569912916,105.2326218069302,1520.8294384276778,147.0064465250055,1608.5605728523192,132.16583011302316,1857.8135307890784,135.99131611073093,1892.5619690695507,172.85487400205562,1991.961194537402,165.69355716287836,1989.8132502131057,162.93697339108272,1939.8974861238673
Wydown Skinker,45,1454.866381221189,23.112197486044543,1548.8542820005794,6.56506577581083,1316.3578072381486,6.558247200319154,1021.3307193061449,294.9071371248449,714.9306664607931,375.31967930639877,599.4866979034549,292.51210721262277,626.1077228492562,195.21595516993932,666.22151356505594,147.4398100066572,662.2874147091367,124.61830222040192,706.9281487858278,121.10553261115686,717.9607841345858,131.28512699671575,710.9234789543392,124.41430973564269,717.5919716881965,124.23029497108693,691.4110681257417,164.9947109855309,622.7498996598662,125.93651679079326
Covenant Blu-Grand Center,77,5583.962481589229,9291.470462403393,5162.6983962218155,11586.493144661361,2659.7789145666943,9610.269502774849,2185.256268637468,6486.7358278525235,1241.2329969384837,4321.0278575343,1021.5053689058575,3330.947571661481,990.1425432607564,2216.879039540427,1540.7526656776545,2180.887547770315,1151.2064666382503,2054.7261468213133,1222.4804070718528,2178.9532761490636,1113.6545215592519,2037.7803666371972,1076.0424256192077,2180.8115760559554,1096.5365082025583,2095.2266845250465,1041.5196329428272,2036.783241486416,971.7790633515759,2149.0839890535135
Central West End,38,35088.719981675975,1812.2035751606843,36677.92949782621,5017.59878417303,26329.855036950652,6390.446590448645,15287.094529053147,9504.479372354202,10036.20553566838,7237.803699631551,10012.578799942874,6539.161269575001,8873.210984254949,5918.895873980073,9782.623335792268,4478.127187474276,9912.206146575249,4248.231489705217,9821.68763326608,4331.777199379705,9702.9916220256,4460.585793703591,9604.841184404662,4469.758309875235,9431.284652577138,4987.53914753562,9872.365294536972,4884.969523366052,9477.79380111264,5365.833853937614
Old North St. Louis,63,7817.375556227687,256.0847115835954,7669.358649376099,366.95115702468115,5571.811563127359,164.9794974280241,2782.55650812716,804.6371576754078,869.5916118671313,570.8556497337914,430.6945896330332,798.0854217008938,246.2536084047805,670.3781258059053,209.9900852467537,880.937130523953,240.06044021819886,702.2940970762412,202.39177103376562,800.7693909764703,225.8845469678382,922.1657028119731,271.1155678947733,816.5738208106177,193.54149041750568,913.3483027618512,235.65863778213426,907.3449664223556,218.87534488938417,836.6981037872279
Vandeventer,58,4066.7288232281207,10162.254070425492,2223.920733641082,12687.871722880109,612.3800751144527,12362.423502996402,173.89091476472635,9271.337464094688,99.77391045315257,4919.060303257854,115.68404437566898,3459.1203370764933,116.1845156731988,2171.598305029844,177.68868975582623,1650.7740532511698,175.55648433492667,1670.291476741217,231.03904334858845,1824.629469404748,225.1133352397085,1708.673542281317,227.60751810420172,1778.6900322925285,174.98763948849563,1753.6993877173775,232.72455788330566,1760.7064502883388,193.43348675977185,1912.4438840931984
St. Louis Place,60,21397.318248210424,699.044474260001,21658.565982436652,420.392201157805,16926.917597719817,1275.7003685060802,5347.19147845911,6378.4383364129935,939.9643079595947,3565.4498652233688,425.7310798293195,3074.152381867631,237.7039966513885,2238.435662017042,183.35785001950677,2076.7477328608275,210.4620403637455,1996.090407461762,176.7145152990162,2057.2299197165885,229.41984339479987,2003.4440879150213,236.53830273051577,2097.442706700009,188.2579789228229,1982.3674983690648,220.2002736885913,1967.83937180178,210.91273207254542,1758.376755403073
Visitation Park,49,3228.539347564364,20.75989584742092,3605.4839413427435,29.42168124214621,777.8833435077222,2937.006520201371,86.4713518475595,2459.2328352631307,80.39821554468192,1971.687769716891,21.15767888181947,1441.0993350785907,19.22439670642005,984.8189465282849,27.363607333778543,872.272355838553,58.82129969861901,731.2062845946729,67.6416843333895,747.4776440237003,83.24410777998933,794.2685822344573,88.3527558156381,821.5744103150798,45.51172999761887,887.1273012342186,41.04419627288799,849.7187305117477,32.34873039690445,830.7297760444368
Lewis Place,54,6558.454429176664,2608.9040029671883,2245.6589172579575,7478.813552055816,512.6734134105031,7577.105008934801,98.58315190637646,6154.048275824792,44.46751928456289,3950.3386358889975,40.89445574321137,3141.3434346387085,36.19031552275753,2149.114995111919,69.29866274133818,1652.3040399204858,41.3030069156353,1785.5957298280948,54.98568133933391,1866.4432752266403,56.822710690895505,1695.9013176688243,72.00865879608018,1677.2413515236817,62.28030977830362,1437.143967593818,76.42728955394409,1311.309383610295,83.95767946352852,1310.31519986186
