Geo_NAME,Geo_QName,Geo_FIPS,Geo_SUMLEV,Geo_GEOCOMP,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUNTYSC,Geo_COUSUB,Geo_TRACT,SE_T001_001
"Census Tract 1011","Census Tract 1011, St. Louis city, Missouri","29510101100","140","00","43","29","510","19",,"101100",2684
"Census Tract 1012","Census Tract 1012, St. Louis city, Missouri","29510101200","140","00","43","29","510","19",,"101200",3102
"Census Tract 1013","Census Tract 1013, St. Louis city, Missouri","29510101300","140","00","43","29","510","19",,"101300",4415
"Census Tract 1014","Census Tract 1014, St. Louis city, Missouri","29510101400","140","00","43","29","510","19",,"101400",2936
"Census Tract 1015","Census Tract 1015, St. Louis city, Missouri","29510101500","140","00","43","29","510","19",,"101500",3446
"Census Tract 1018","Census Tract 1018, St. Louis city, Missouri","29510101800","140","00","43","29","510","19",,"101800",3200
"Census Tract 1021","Census Tract 1021, St. Louis city, Missouri","29510102100","140","00","43","29","510","19",,"102100",2875
"Census Tract 1022","Census Tract 1022, St. Louis city, Missouri","29510102200","140","00","43","29","510","19",,"102200",6569
"Census Tract 1023","Census Tract 1023, St. Louis city, Missouri","29510102300","140","00","43","29","510","19",,"102300",1831
"Census Tract 1024","Census Tract 1024, St. Louis city, Missouri","29510102400","140","00","43","29","510","19",,"102400",2584
"Census Tract 1025","Census Tract 1025, St. Louis city, Missouri","29510102500","140","00","43","29","510","19",,"102500",2172
"Census Tract 1031","Census Tract 1031, St. Louis city, Missouri","29510103100","140","00","43","29","510","19",,"103100",3331
"Census Tract 1034","Census Tract 1034, St. Louis city, Missouri","29510103400","140","00","43","29","510","19",,"103400",2185
"Census Tract 1036","Census Tract 1036, St. Louis city, Missouri","29510103600","140","00","43","29","510","19",,"103600",1557
"Census Tract 1037","Census Tract 1037, St. Louis city, Missouri","29510103700","140","00","43","29","510","19",,"103700",2761
"Census Tract 1038","Census Tract 1038, St. Louis city, Missouri","29510103800","140","00","43","29","510","19",,"103800",4039
"Census Tract 1039","Census Tract 1039, St. Louis city, Missouri","29510103900","140","00","43","29","510","19",,"103900",1077
"Census Tract 1041","Census Tract 1041, St. Louis city, Missouri","29510104100","140","00","43","29","510","19",,"104100",2850
"Census Tract 1042","Census Tract 1042, St. Louis city, Missouri","29510104200","140","00","43","29","510","19",,"104200",3726
"Census Tract 1045","Census Tract 1045, St. Louis city, Missouri","29510104500","140","00","43","29","510","19",,"104500",1927
"Census Tract 1051.98","Census Tract 1051.98, St. Louis city, Missouri","29510105198","140","00","43","29","510","19",,"105198",3526
"Census Tract 1052","Census Tract 1052, St. Louis city, Missouri","29510105200","140","00","43","29","510","19",,"105200",2840
"Census Tract 1053","Census Tract 1053, St. Louis city, Missouri","29510105300","140","00","43","29","510","19",,"105300",2366
"Census Tract 1054","Census Tract 1054, St. Louis city, Missouri","29510105400","140","00","43","29","510","19",,"105400",2269
"Census Tract 1055","Census Tract 1055, St. Louis city, Missouri","29510105500","140","00","43","29","510","19",,"105500",3074
"Census Tract 1061","Census Tract 1061, St. Louis city, Missouri","29510106100","140","00","43","29","510","19",,"106100",2897
"Census Tract 1062","Census Tract 1062, St. Louis city, Missouri","29510106200","140","00","43","29","510","19",,"106200",2527
"Census Tract 1063","Census Tract 1063, St. Louis city, Missouri","29510106300","140","00","43","29","510","19",,"106300",2987
"Census Tract 1064","Census Tract 1064, St. Louis city, Missouri","29510106400","140","00","43","29","510","19",,"106400",3088
"Census Tract 1065","Census Tract 1065, St. Louis city, Missouri","29510106500","140","00","43","29","510","19",,"106500",3477
"Census Tract 1066","Census Tract 1066, St. Louis city, Missouri","29510106600","140","00","43","29","510","19",,"106600",2566
"Census Tract 1067","Census Tract 1067, St. Louis city, Missouri","29510106700","140","00","43","29","510","19",,"106700",4322
"Census Tract 1071","Census Tract 1071, St. Louis city, Missouri","29510107100","140","00","43","29","510","19",,"107100",1361
"Census Tract 1072","Census Tract 1072, St. Louis city, Missouri","29510107200","140","00","43","29","510","19",,"107200",1720
"Census Tract 1073","Census Tract 1073, St. Louis city, Missouri","29510107300","140","00","43","29","510","19",,"107300",6086
"Census Tract 1074","Census Tract 1074, St. Louis city, Missouri","29510107400","140","00","43","29","510","19",,"107400",3625
"Census Tract 1075","Census Tract 1075, St. Louis city, Missouri","29510107500","140","00","43","29","510","19",,"107500",3624
"Census Tract 1076","Census Tract 1076, St. Louis city, Missouri","29510107600","140","00","43","29","510","19",,"107600",2182
"Census Tract 1077","Census Tract 1077, St. Louis city, Missouri","29510107700","140","00","43","29","510","19",,"107700",4365
"Census Tract 1081","Census Tract 1081, St. Louis city, Missouri","29510108100","140","00","43","29","510","19",,"108100",3800
"Census Tract 1082","Census Tract 1082, St. Louis city, Missouri","29510108200","140","00","43","29","510","19",,"108200",2996
"Census Tract 1083","Census Tract 1083, St. Louis city, Missouri","29510108300","140","00","43","29","510","19",,"108300",2651
