Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_state,Geo_county,SE_T001_001
"1A","Census Tract 1A, St Louis City County, Missouri","140","2951000101000","29","510",1169
"1B","Census Tract 1B, St Louis City County, Missouri","140","2951000102000","29","510",1714
"1C","Census Tract 1C, St Louis City County, Missouri","140","2951000103000","29","510",6229
"1D","Census Tract 1D, St Louis City County, Missouri","140","2951000104000","29","510",4856
"1E","Census Tract 1E, St Louis City County, Missouri","140","2951000105000","29","510",5583
"1F","Census Tract 1F, St Louis City County, Missouri","140","2951000106000","29","510",2645
"1G","Census Tract 1G, St Louis City County, Missouri","140","2951000107000","29","510",5814
"2A","Census Tract 2A, St Louis City County, Missouri","140","2951000201000","29","510",2442
"2B","Census Tract 2B, St Louis City County, Missouri","140","2951000202000","29","510",6660
"2C","Census Tract 2C, St Louis City County, Missouri","140","2951000203000","29","510",1400
"2D","Census Tract 2D, St Louis City County, Missouri","140","2951000204000","29","510",3582
"2E","Census Tract 2E, St Louis City County, Missouri","140","2951000205000","29","510",2500
"3A","Census Tract 3A, St Louis City County, Missouri","140","2951000301000","29","510",1424
"3B","Census Tract 3B, St Louis City County, Missouri","140","2951000302000","29","510",3589
"3C","Census Tract 3C, St Louis City County, Missouri","140","2951000303000","29","510",1302
"3D","Census Tract 3D, St Louis City County, Missouri","140","2951000304000","29","510",3434
"3E","Census Tract 3E, St Louis City County, Missouri","140","2951000305000","29","510",1285
"3F","Census Tract 3F, St Louis City County, Missouri","140","2951000306000","29","510",1849
"3G","Census Tract 3G, St Louis City County, Missouri","140","2951000307000","29","510",4092
"4A","Census Tract 4A, St Louis City County, Missouri","140","2951000401000","29","510",4038
"4B","Census Tract 4B, St Louis City County, Missouri","140","2951000402000","29","510",5602
"4C","Census Tract 4C, St Louis City County, Missouri","140","2951000403000","29","510",3603
"4D","Census Tract 4D, St Louis City County, Missouri","140","2951000404000","29","510",678
"5A","Census Tract 5A, St Louis City County, Missouri","140","2951000501000","29","510",4993
"5B","Census Tract 5B, St Louis City County, Missouri","140","2951000502000","29","510",7402
"5C","Census Tract 5C, St Louis City County, Missouri","140","2951000503000","29","510",7712
"5D","Census Tract 5D, St Louis City County, Missouri","140","2951000504000","29","510",7008
"5E","Census Tract 5E, St Louis City County, Missouri","140","2951000505000","29","510",9253
"6A","Census Tract 6A, St Louis City County, Missouri","140","2951000601000","29","510",10995
"6B","Census Tract 6B, St Louis City County, Missouri","140","2951000602000","29","510",6288
"6C","Census Tract 6C, St Louis City County, Missouri","140","2951000603000","29","510",8442
"6D","Census Tract 6D, St Louis City County, Missouri","140","2951000604000","29","510",7243
"6E","Census Tract 6E, St Louis City County, Missouri","140","2951000605000","29","510",8373
"6F","Census Tract 6F, St Louis City County, Missouri","140","2951000606000","29","510",8448
"6G","Census Tract 6G, St Louis City County, Missouri","140","2951000607000","29","510",8183
"7A","Census Tract 7A, St Louis City County, Missouri","140","2951000701000","29","510",809
"7B","Census Tract 7B, St Louis City County, Missouri","140","2951000702000","29","510",3541
"7C","Census Tract 7C, St Louis City County, Missouri","140","2951000703000","29","510",5512
"7D","Census Tract 7D, St Louis City County, Missouri","140","2951000704000","29","510",6852
"7E","Census Tract 7E, St Louis City County, Missouri","140","2951000705000","29","510",6444
"7F","Census Tract 7F, St Louis City County, Missouri","140","2951000706000","29","510",4319
