Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_State,Geo_tractcd,Geo_NHGISST,Geo_NHGISCTY,Geo_GISJOIN,Geo_GISJoin2,Geo_DECADE,Geo_state60,Geo_county60,Geo_Supp_trc_pcs_count,Geo_SuppFP_1,Geo_SuppFP_2,Geo_SuppFP_3,Geo_SuppFP_4,Geo_SuppFP_5,Geo_Supp1,Geo_Supp2,Geo_Supp3,Geo_Supp4,Geo_Supp5,SE_T001_001
"Census Tract 0001A000","Census Tract 0001A000, St Louis City County, Missouri","140","2951000001A000","29","000000100A","290","5100","G29051000001A","29051000001A","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,3622
"Census Tract 0001B000","Census Tract 0001B000, St Louis City County, Missouri","140","2951000001B000","29","000000100B","290","5100","G29051000001B","29051000001B","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,4165
"Census Tract 0001C000","Census Tract 0001C000, St Louis City County, Missouri","140","2951000001C000","29","000000100C","290","5100","G29051000001C","29051000001C","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,5890
"Census Tract 0001D000","Census Tract 0001D000, St Louis City County, Missouri","140","2951000001D000","29","000000100D","290","5100","G29051000001D","29051000001D","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,4861
"Census Tract 0001E000","Census Tract 0001E000, St Louis City County, Missouri","140","2951000001E000","29","000000100E","290","5100","G29051000001E","29051000001E","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,4734
"Census Tract 0001F000","Census Tract 0001F000, St Louis City County, Missouri","140","2951000001F000","29","000000100F","290","5100","G29051000001F","29051000001F","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,2086
"Census Tract 0001G000","Census Tract 0001G000, St Louis City County, Missouri","140","2951000001G000","29","000000100G","290","5100","G29051000001G","29051000001G","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,5071
"Census Tract 0002A000","Census Tract 0002A000, St Louis City County, Missouri","140","2951000002A000","29","000000200A","290","5100","G29051000002A","29051000002A","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,3664
"Census Tract 0002B000","Census Tract 0002B000, St Louis City County, Missouri","140","2951000002B000","29","000000200B","290","5100","G29051000002B","29051000002B","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,8779
"Census Tract 0002C000","Census Tract 0002C000, St Louis City County, Missouri","140","2951000002C000","29","000000200C","290","5100","G29051000002C","29051000002C","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,2978
"Census Tract 0002D000","Census Tract 0002D000, St Louis City County, Missouri","140","2951000002D000","29","000000200D","290","5100","G29051000002D","29051000002D","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,3325
"Census Tract 0002E000","Census Tract 0002E000, St Louis City County, Missouri","140","2951000002E000","29","000000200E","290","5100","G29051000002E","29051000002E","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,2685
"Census Tract 0003A000","Census Tract 0003A000, St Louis City County, Missouri","140","2951000003A000","29","000000300A","290","5100","G29051000003A","29051000003A","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,4329
"Census Tract 0003B000","Census Tract 0003B000, St Louis City County, Missouri","140","2951000003B000","29","000000300B","290","5100","G29051000003B","29051000003B","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,5440
"Census Tract 0003C000","Census Tract 0003C000, St Louis City County, Missouri","140","2951000003C000","29","000000300C","290","5100","G29051000003C","29051000003C","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,1327
"Census Tract 0003D000","Census Tract 0003D000, St Louis City County, Missouri","140","2951000003D000","29","000000300D","290","5100","G29051000003D","29051000003D","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,3603
"Census Tract 0003E000","Census Tract 0003E000, St Louis City County, Missouri","140","2951000003E000","29","000000300E","290","5100","G29051000003E","29051000003E","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,1585
"Census Tract 0003F000","Census Tract 0003F000, St Louis City County, Missouri","140","2951000003F000","29","000000300F","290","5100","G29051000003F","29051000003F","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,2044
"Census Tract 0003G000","Census Tract 0003G000, St Louis City County, Missouri","140","2951000003G000","29","000000300G","290","5100","G29051000003G","29051000003G","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,4162
"Census Tract 0004A000","Census Tract 0004A000, St Louis City County, Missouri","140","2951000004A000","29","000000400A","290","5100","G29051000004A","29051000004A","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,4699
"Census Tract 0004B000","Census Tract 0004B000, St Louis City County, Missouri","140","2951000004B000","29","000000400B","290","5100","G29051000004B","29051000004B","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,5858
"Census Tract 0004C000","Census Tract 0004C000, St Louis City County, Missouri","140","2951000004C000","29","000000400C","290","5100","G29051000004C","29051000004C","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,3699
"Census Tract 0004D000","Census Tract 0004D000, St Louis City County, Missouri","140","2951000004D000","29","000000400D","290","5100","G29051000004D","29051000004D","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,559
"Census Tract 0005A000","Census Tract 0005A000, St Louis City County, Missouri","140","2951000005A000","29","000000500A","290","5100","G29051000005A","29051000005A","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,4460
"Census Tract 0005B000","Census Tract 0005B000, St Louis City County, Missouri","140","2951000005B000","29","000000500B","290","5100","G29051000005B","29051000005B","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,6247
"Census Tract 0005C000","Census Tract 0005C000, St Louis City County, Missouri","140","2951000005C000","29","000000500C","290","5100","G29051000005C","29051000005C","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,7637
"Census Tract 0005D000","Census Tract 0005D000, St Louis City County, Missouri","140","2951000005D000","29","000000500D","290","5100","G29051000005D","29051000005D","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,7441
"Census Tract 0005E000","Census Tract 0005E000, St Louis City County, Missouri","140","2951000005E000","29","000000500E","290","5100","G29051000005E","29051000005E","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,11121
"Census Tract 0006A000","Census Tract 0006A000, St Louis City County, Missouri","140","2951000006A000","29","000000600A","290","5100","G29051000006A","29051000006A","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,10969
"Census Tract 0006B000","Census Tract 0006B000, St Louis City County, Missouri","140","2951000006B000","29","000000600B","290","5100","G29051000006B","29051000006B","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,6573
"Census Tract 0006C000","Census Tract 0006C000, St Louis City County, Missouri","140","2951000006C000","29","000000600C","290","5100","G29051000006C","29051000006C","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,7833
"Census Tract 0006D000","Census Tract 0006D000, St Louis City County, Missouri","140","2951000006D000","29","000000600D","290","5100","G29051000006D","29051000006D","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,6551
"Census Tract 0006E000","Census Tract 0006E000, St Louis City County, Missouri","140","2951000006E000","29","000000600E","290","5100","G29051000006E","29051000006E","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,8163
"Census Tract 0006F000","Census Tract 0006F000, St Louis City County, Missouri","140","2951000006F000","29","000000600F","290","5100","G29051000006F","29051000006F","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,7531
"Census Tract 0006G000","Census Tract 0006G000, St Louis City County, Missouri","140","2951000006G000","29","000000600G","290","5100","G29051000006G","29051000006G","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,8270
"Census Tract 0007A000","Census Tract 0007A000, St Louis City County, Missouri","140","2951000007A000","29","000000700A","290","5100","G29051000007A","29051000007A","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,998
"Census Tract 0007B000","Census Tract 0007B000, St Louis City County, Missouri","140","2951000007B000","29","000000700B","290","5100","G29051000007B","29051000007B","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,3258
"Census Tract 0007C000","Census Tract 0007C000, St Louis City County, Missouri","140","2951000007C000","29","000000700C","290","5100","G29051000007C","29051000007C","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,6625
"Census Tract 0007D000","Census Tract 0007D000, St Louis City County, Missouri","140","2951000007D000","29","000000700D","290","5100","G29051000007D","29051000007D","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,6033
"Census Tract 0007E000","Census Tract 0007E000, St Louis City County, Missouri","140","2951000007E000","29","000000700E","290","5100","G29051000007E","29051000007E","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,5136
"Census Tract 0007F000","Census Tract 0007F000, St Louis City County, Missouri","140","2951000007F000","29","000000700F","290","5100","G29051000007F","29051000007F","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,3514
"Census Tract 0007G000","Census Tract 0007G000, St Louis City County, Missouri","140","2951000007G000","29","000000700G","290","5100","G29051000007G","29051000007G","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,6339
"Census Tract 0008A000","Census Tract 0008A000, St Louis City County, Missouri","140","2951000008A000","29","000000800A","290","5100","G29051000008A","29051000008A","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,4496
"Census Tract 0008B000","Census Tract 0008B000, St Louis City County, Missouri","140","2951000008B000","29","000000800B","290","5100","G29051000008B","29051000008B","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,2942
"Census Tract 0008C000","Census Tract 0008C000, St Louis City County, Missouri","140","2951000008C000","29","000000800C","290","5100","G29051000008C","29051000008C","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,3075
"Census Tract 0008D000","Census Tract 0008D000, St Louis City County, Missouri","140","2951000008D000","29","000000800D","290","5100","G29051000008D","29051000008D","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,1124
"Census Tract 0008E000","Census Tract 0008E000, St Louis City County, Missouri","140","2951000008E000","29","000000800E","290","5100","G29051000008E","29051000008E","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,1393
"Census Tract 0008F000","Census Tract 0008F000, St Louis City County, Missouri","140","2951000008F000","29","000000800F","290","5100","G29051000008F","29051000008F","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,147
"Census Tract 0009A000","Census Tract 0009A000, St Louis City County, Missouri","140","2951000009A000","29","000000900A","290","5100","G29051000009A","29051000009A","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,5942
"Census Tract 0009B000","Census Tract 0009B000, St Louis City County, Missouri","140","2951000009B000","29","000000900B","290","5100","G29051000009B","29051000009B","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,710
"Census Tract 0009C000","Census Tract 0009C000, St Louis City County, Missouri","140","2951000009C000","29","000000900C","290","5100","G29051000009C","29051000009C","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,4434
"Census Tract 0009D000","Census Tract 0009D000, St Louis City County, Missouri","140","2951000009D000","29","000000900D","290","5100","G29051000009D","29051000009D","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,3128
"Census Tract 0009E000","Census Tract 0009E000, St Louis City County, Missouri","140","2951000009E000","29","000000900E","290","5100","G29051000009E","29051000009E","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,3954
"Census Tract 0010A000","Census Tract 0010A000, St Louis City County, Missouri","140","2951000010A000","29","000001000A","290","5100","G29051000010A","29051000010A","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,7978
"Census Tract 0010B000","Census Tract 0010B000, St Louis City County, Missouri","140","2951000010B000","29","000001000B","290","5100","G29051000010B","29051000010B","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,6436
"Census Tract 0010C000","Census Tract 0010C000, St Louis City County, Missouri","140","2951000010C000","29","000001000C","290","5100","G29051000010C","29051000010C","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,8003
"Census Tract 0010D000","Census Tract 0010D000, St Louis City County, Missouri","140","2951000010D000","29","000001000D","290","5100","G29051000010D","29051000010D","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,6591
"Census Tract 0010E000","Census Tract 0010E000, St Louis City County, Missouri","140","2951000010E000","29","000001000E","290","5100","G29051000010E","29051000010E","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,5905
"Census Tract 0011A000","Census Tract 0011A000, St Louis City County, Missouri","140","2951000011A000","29","000001100A","290","5100","G29051000011A","29051000011A","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,12159
"Census Tract 0011B000","Census Tract 0011B000, St Louis City County, Missouri","140","2951000011B000","29","000001100B","290","5100","G29051000011B","29051000011B","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,9546
