Geo_NAME,Geo_QName,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_COUNTY,Geo_TRACT,SE_T001_001
"Tract 1011","Tract 1011, St. Louis city, Missouri","140","00","2","4","29510101100","29","510","101100",2867
"Tract 1012","Tract 1012, St. Louis city, Missouri","140","00","2","4","29510101200","29","510","101200",3287
"Tract 1013","Tract 1013, St. Louis city, Missouri","140","00","2","4","29510101300","29","510","101300",4446
"Tract 1014","Tract 1014, St. Louis city, Missouri","140","00","2","4","29510101400","29","510","101400",3075
"Tract 1015","Tract 1015, St. Louis city, Missouri","140","00","2","4","29510101500","29","510","101500",3763
"Tract 1018","Tract 1018, St. Louis city, Missouri","140","00","2","4","29510101800","29","510","101800",3789
"Tract 1018.99","Tract 1018.99, St. Louis city, Missouri","140","00","2","4","29510101899","29","510","101899",12
"Tract 1021","Tract 1021, St. Louis city, Missouri","140","00","2","4","29510102100","29","510","102100",2820
"Tract 1022","Tract 1022, St. Louis city, Missouri","140","00","2","4","29510102200","29","510","102200",6608
"Tract 1023","Tract 1023, St. Louis city, Missouri","140","00","2","4","29510102300","29","510","102300",1905
"Tract 1024","Tract 1024, St. Louis city, Missouri","140","00","2","4","29510102400","29","510","102400",2489
"Tract 1025","Tract 1025, St. Louis city, Missouri","140","00","2","4","29510102500","29","510","102500",2243
"Tract 1031","Tract 1031, St. Louis city, Missouri","140","00","2","4","29510103100","29","510","103100",3354
"Tract 1034","Tract 1034, St. Louis city, Missouri","140","00","2","4","29510103400","29","510","103400",2275
"Tract 1036","Tract 1036, St. Louis city, Missouri","140","00","2","4","29510103600","29","510","103600",1563
"Tract 1037","Tract 1037, St. Louis city, Missouri","140","00","2","4","29510103700","29","510","103700",2937
"Tract 1038","Tract 1038, St. Louis city, Missouri","140","00","2","4","29510103800","29","510","103800",4213
"Tract 1039","Tract 1039, St. Louis city, Missouri","140","00","2","4","29510103900","29","510","103900",1229
"Tract 1041","Tract 1041, St. Louis city, Missouri","140","00","2","4","29510104100","29","510","104100",3153
"Tract 1042","Tract 1042, St. Louis city, Missouri","140","00","2","4","29510104200","29","510","104200",4037
"Tract 1045","Tract 1045, St. Louis city, Missouri","140","00","2","4","29510104500","29","510","104500",2406
"Tract 1051.98","Tract 1051.98, St. Louis city, Missouri","140","00","2","4","29510105198","29","510","105198",3810
"Tract 1052","Tract 1052, St. Louis city, Missouri","140","00","2","4","29510105200","29","510","105200",3073
"Tract 1053","Tract 1053, St. Louis city, Missouri","140","00","2","4","29510105300","29","510","105300",3138
"Tract 1054","Tract 1054, St. Louis city, Missouri","140","00","2","4","29510105400","29","510","105400",3047
"Tract 1055","Tract 1055, St. Louis city, Missouri","140","00","2","4","29510105500","29","510","105500",4477
"Tract 1061","Tract 1061, St. Louis city, Missouri","140","00","2","4","29510106100","29","510","106100",4083
